id,ipa_transcription,gloss,free_translation,note,scribe,date,group,speaker,begin_time,end_time,duration
81,ˈkʼotʃ'o,kocho,kocho; food made from false banana tree starch,,Uma,9/11,class,,,,
82,bulˈla,bulla,porridge made from false banana tree trunk,good postpartum meal,Uma,9/11,class,,,,
83,guˈɾage,gurage,gurage tribe; the tribe that traditionally cooks (81) and (82),,Uma,9/11,class,,,,
84,k'ʌbe,butter,butter,traditionally spiced and clarified,Uma,9/11,class,,,,
85,əˈne awɛɾalɛhʷ,I talk.1.SG,I talk,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
86,əˈne ejawɛɾahʷ nɛw,I talk.1.SG AuxB,I am talking,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
87,əˈne ɨsaˈɾalɛhʷ,I work,I work,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
88,aˈhun ejɨsaˈɾahʷ nɛw,now work.1.SG AuxB,I am working now,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
89,əˈne ejɨsaˈɾahʷ nɛw,I work.1.SG AuxB,I am working,,Uma,9/15,Uma & Kali,,,,
90,aˈhun səˈɾa laj nɛɲ,,I am busy right now/I am on the job right now,,Uma,9/15,Uma & Kali,,,,
91,ejɨsaˈɾatʃ nɛw,work.SG.F AuxB,she is working,may have subj. pronoun,Uma,9/15,Uma & Kali,,,,
92,ɛˈswa ejɨsaˈɾatʃ nɛw,she work.F AuxB,she is working,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
93,əˈsu ejɨsaˈɾa nɛw,he work AuxB,he is working,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
94,anˈtʃi ejɨsaˈɾatʃ nɛw,you.SG.F work.F AuxB,you (f) are working,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
95,antɛ ejɨsaˈɾa nɛw,you.SG.M work AuxB,you (m) are working,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
96,ˈɨɲa ejɨsaˈɾa nɛw,we work AuxB,we are working,subj. pro. optional,Uma,9/15,Uma & Kali,,,,
97,set,woman,woman,,Uma,9/15,Uma & Kali,,,,
98,ˈsetotʃ,woman.PL,women,,Uma,9/15,Uma & Kali,,,,
99,əˈnantə ejɨsaˈɾatʃuh nɛw,you.PL work.2.PL AuxB,y'all are working (M/F),subj. pro. optional,Uma,9/15,Uma & Kali,,,,
100,wɛnt,man,man,"X explicitly refers to final sound as ""letter d,"" but pronounces [t]",Uma,9/15,Uma & Kali,,,,
